,Unnamed: 0,id,name,absolute_magnitude_h,is_potentially_hazardous_asteroid,is_sentry_object,meters_estimated_diameter,orbit_id,orbit_class_type,perihelion_distance,aphelion_distance,first_observation_date,last_observation_date,orbit_class_description,volume (m^3)
62,62,2005011,5011 Ptah (6743 P-L),-0.6392433090964807,True,0,1.5446091716732978e-36,153,1,1.8601274621173554,0.045412222670116756,1960-09-24,2021-07-20,3,1.1977498956249287e-100
63,63,2005131,5131 (1990 BG),-0.6394143993525119,False,0,1.5446091716732978e-36,366,1,1.6519529888244229,0.04525741165783006,1978-12-06,2022-03-01,3,1.1977498956249287e-100
64,64,2005143,5143 Heracles (1991 VL),-0.6394976632771137,False,0,1.5446091716732978e-36,602,1,1.4560666341743485,0.04626142329184242,1953-11-30,2021-11-25,3,1.1977498956249287e-100
65,65,2005189,5189 (1990 UQ),-0.6390745000438633,True,0,1.5446091716732978e-36,287,1,1.849887165096337,0.04520786016646795,1990-10-20,2022-01-31,3,1.1977498956249287e-100
66,66,2005324,5324 Lyapunov (1987 SL),-0.6393471038518063,False,0,1.5446091716732978e-36,59,0,2.426589317207922,0.047438811766183746,1987-09-19,2022-04-09,1,1.1977498956249287e-100
67,67,2005332,5332 Davidaguilar (1990 DA),-0.639413258750805,False,0,1.5446091716732978e-36,353,0,2.4254432291997627,0.04616640362598709,1973-10-18,2022-04-15,1,1.1977498956249287e-100
68,68,2005370,5370 Taranis (1986 RA),-0.6393710564876506,False,0,1.5446091716732978e-36,65,0,2.4749164848935,0.04782444878515855,1986-08-11,2022-04-09,1,1.1977498956249287e-100
69,69,2005381,5381 Sekhmet (1991 JY),-0.6392159346555157,False,0,1.5446091716732978e-36,91,2,1.6799442748990867,0.04332381849886141,1991-05-14,2017-03-16,2,1.1977498956249287e-100
70,70,2005496,5496 (1973 NA),-0.6392672617323251,False,0,1.5446091716732978e-36,60,1,1.9559408810925873,0.046878207850215,1973-07-06,2022-03-02,3,1.1977498956249287e-100
71,71,2005587,5587 (1990 SB),-0.6395330219300268,False,0,1.5446091716732978e-36,388,0,2.272811016650188,0.04665683968208776,1953-12-07,2021-11-11,1,1.1977498956249287e-100
72,72,2005590,5590 (1990 VA),-0.6388623481263846,False,0,1.5446091716732978e-36,17,2,1.72845003937271,0.04340351706295088,1990-11-09,1996-12-05,2,1.1977498956249287e-100
73,73,2005604,5604 (1992 FE),-0.6391395143411551,True,0,1.5446091716732978e-36,187,2,1.5649681255667658,0.04350782796559562,1976-04-23,2020-03-24,2,1.1977498956249287e-100
74,74,2005620,5620 Jasonwheeler (1990 OA),-0.6391657481804133,False,0,1.5446091716732978e-36,114,0,2.553237154166651,0.046090665320202284,1955-05-16,2021-02-10,1,1.1977498956249287e-100
75,75,2005626,5626 Melissabrucker (1991 FE),-0.6394851166583381,False,0,1.5446091716732978e-36,621,0,2.456684785339874,0.046207239023760796,1970-09-08,2021-07-01,1,1.1977498956249287e-100
76,76,2005645,5645 (1990 SP),-0.6391440767479827,False,0,1.5446091716732978e-36,198,1,1.876607912188282,0.04460573675528807,1974-08-13,2021-07-08,3,1.1977498956249287e-100
77,77,2005646,5646 (1990 TR),-0.6393562286654613,False,0,1.5446091716732978e-36,406,0,2.478983751653241,0.04609771403989259,1990-05-03,2021-07-08,1,1.1977498956249287e-100
78,78,2005653,5653 Camarillo (1992 WD5),-0.6392535745118426,False,0,1.5446091716732978e-36,385,0,2.5531078927326574,0.0452693176704531,1974-03-24,2022-04-12,1,1.1977498956249287e-100
79,79,2005660,5660 (1974 MA),-0.6393436820466857,False,0,1.5446091716732978e-36,71,1,1.4617508258472114,0.04616331443255167,1974-06-26,2020-04-22,3,1.1977498956249287e-100
80,80,2005693,5693 (1993 EA),-0.6391988256299126,True,0,1.5446091716732978e-36,367,1,1.5431626702906711,0.04481617116178256,1984-01-10,2022-04-09,3,1.1977498956249287e-100
81,81,2005731,5731 Zeus (1988 VP4),-0.639340260241565,False,0,1.5446091716732978e-36,142,1,1.8227433385156446,0.046694127274503214,1988-09-13,2021-09-11,3,1.1977498956249287e-100
82,82,2005751,5751 Zao (1992 AC),-0.6394086963439775,False,0,1.5446091716732978e-36,322,0,2.478951961380087,0.046014929133625745,1989-03-10,2022-02-20,1,1.1977498956249287e-100
83,83,2005786,5786 Talos (1991 RC),-0.6391543421633445,False,0,1.5446091716732978e-36,192,1,1.3348902944421663,0.0447572822502141,1991-09-03,2020-11-08,3,1.1977498956249287e-100
84,84,2005797,5797 Bivoj (1980 AA),-0.6389650022800034,False,0,1.5446091716732978e-36,93,0,2.206324786605693,0.04573990479255967,1953-10-12,2019-04-29,1,1.1977498956249287e-100
85,85,2005828,5828 (1991 AM),-0.6392798083511007,False,0,1.5446091716732978e-36,160,1,1.5351897275915647,0.04589400399395889,1982-11-13,2022-02-23,3,1.1977498956249287e-100
86,86,2005836,5836 (1993 MF),-0.6393984309286156,False,0,1.5446091716732978e-36,343,0,2.3389146927465108,0.04669615407434342,1981-04-26,2022-03-06,1,1.1977498956249287e-100
87,87,2005863,5863 Tara (1983 RB),-0.6393014797835312,False,0,1.5446091716732978e-36,237,0,2.283899289833748,0.04635054453732808,1983-09-07,2022-04-03,1,1.1977498956249287e-100
88,88,2005869,5869 Tanith (1988 VN4),-0.6391474985531033,False,0,1.5446091716732978e-36,149,0,2.518833729245742,0.045337751959030725,1977-02-16,2021-06-11,1,1.1977498956249287e-100
89,89,2005879,5879 Almeria (1992 CH1),-0.6390950308745871,False,0,1.5446091716732978e-36,202,0,2.381520351357967,0.044933192270770556,1992-02-08,2021-07-07,1,1.1977498956249287e-100
